ts	phase	decision	why	evidence	result
2026-08-20T17:08:55Z	design	committed ADR 0001 unchanged before revising it	kept the original proposal reviewable as requested	commit c4a3a0a68	original design preserved
2026-08-20T17:08:55Z	design	revised the ADR around the signature baseline and causal components	removed premature activation state and an equality-heavy universal frame	commit 5dc3a3183	migration contract fixed
2026-08-20T17:08:55Z	contract	added one rerunnable refactor check	needed proof that Model.lean, all eight exports, placeholders, and trace outcomes stay fixed	commit d30a4f812, lean/check_ccfraft_signature_refactor.sh	check passes
2026-08-20T17:08:55Z	ghost-state	collected the twelve proof witnesses in GhostState without changing the active invariant	named fields stop positional witness churn before any semantic switch	commit b0cc5f9b2	CCFRaft.Properties builds
2026-08-20T17:08:55Z	components	split the invariant into eight named causal components and proved fixed-witness equivalence	existential equivalence alone could hide a change of ghost witness	commit cba1bc947, lean/CCFRaft/Properties.lean:1696	full contract passes
2026-08-20T17:08:55Z	delta	added CommonProgress and the first AppendEntries send delta	tested the API on the narrow action that also exercises duplicate-message history updates	commit bebf57ceb, lean/CCFRaft/Properties.lean:1797	full contract passes
2026-08-20T17:08:55Z	induction	made the component invariant canonical for reachable induction and public exports	kept the old proof behind checked conversions so the representation switch stayed independently verifiable	commit 6521df226, lean/CCFRaft/Proofs.lean:21720	full contract passes
2026-08-20T17:08:55Z	remaining-work	kept the positional preservation proof as an internal implementation	rewriting all action families at once would make the green representation switch hard to review	lean/CCFRaft/Proofs.lean:6530, lean/CCFRaft/Proofs.lean:21361	open: migrate remaining actions and delete legacy representation
2026-08-20T17:13:08Z	correction	reverted the canonical reachable-induction switch	the ADR requires direct component preservation for every action before the switch	commit 026d140ca supersedes commit 6521df226	reachable induction uses the legacy invariant again
2026-08-20T17:13:08Z	correction	narrowed the AppendEntries delta claim	the current proof consumes runtime equality fields but not the delta's ghost or queue fields	commit bebf57ceb, lean/CCFRaft/Proofs.lean:8998	open: wire ghost and queue laws into direct component preservation
2026-08-20T17:13:08Z	preservation	gave the reconfiguration stash commit a durable branch name	refs/stash is mutable and should not be the only reference to the saved work	refs/heads/reconfiguration-wip-preservation -> fa7d140835c76e1645cbac12148c206a7f68c3a7	saved work remains unchanged
2026-08-20T17:15:44Z	verification	captured the full refactor contract result for the corrected branch	commit-only evidence was too weak to prove that the checks ran	.audit/contract-97ba25aa4.txt	Model hash fixed, eight exports audited, no placeholders, build and four traces pass
2026-08-20T17:24:23Z	delta	replaced whole-record AppendEntries ghost equality with projection and lookup laws	the ADR requires same-key, different-key, and unchanged-field facts that component consumers can use directly	lean/CCFRaft/Properties.lean:1813, lean/CCFRaft/Proofs.lean:8865	CCFRaft.Proofs builds; direct component consumer remains open
2026-08-20T19:56:49Z	verification	stopped the full workspace rebuild and restored Mathlib's published cache	plain lake clean deleted dependency outputs and spent over two hours recompiling Mathlib	Mathlib README.md:61, lake exe cache get, lean/check_ccfraft_signature_refactor.sh	8,010 cache files restored; verifier now cleans only ccf-consistency-pure-lean
2026-08-20T20:02:04Z	verification	ran the clean contract with the restored Mathlib cache	needed exact build provenance without recompiling dependencies	.audit/contract-2ab3c85f7.txt	project clean build, axiom audit, and four trace projections pass
